opcode_sequence,label
lea ret mov xor add push add pop push jmp call call nop call call ret or ret pop and,1
and xor ret cmp add add,1
and call cmp xor call ret mov push nop mov nop sub push sub and push,0
sub call jmp jmp jmp call sub nop,0
call or jmp xor cmp sub pop and nop sub and and mov push nop sub pop call nop,0
pop push mov xor mov cmp and cmp lea nop sub,1
call push ret nop add add and sub pop and pop or cmp ret mov nop lea add lea,1
xor ret add jmp push cmp and ret,0
and ret nop cmp nop or pop nop call xor xor lea pop lea jmp add add call call jmp,0
pop xor add xor nop add pop sub sub pop,0
or lea ret lea xor ret pop jmp push push,0
cmp or pop push lea pop ret xor pop sub jmp cmp or or nop nop,0
ret or lea pop nop cmp jmp push cmp or and jmp or sub lea or or pop,1
nop jmp mov push add call pop pop add ret xor,0
push ret or push jmp call push,0
ret xor push add and ret jmp add,0
ret xor xor mov pop ret xor sub sub ret add jmp call mov xor mov,1
and push mov cmp pop ret pop,0
push nop push nop xor call mov ret,0
xor mov and ret add or add nop pop sub or lea jmp cmp and ret call and and sub,0
lea or xor ret cmp pop cmp add add jmp nop,1
push and call jmp jmp lea,1
and call pop ret nop add or mov or push lea and mov cmp pop sub pop nop mov and,0
push or call cmp xor add mov or push pop or call push cmp,0
call cmp and or call cmp sub cmp jmp jmp nop or mov lea xor mov,0
pop push or jmp push cmp pop lea lea cmp cmp push,1
ret call sub cmp cmp xor ret call or ret pop ret xor sub add and add ret,1
nop xor sub pop add add sub and ret mov xor mov ret mov add cmp or lea cmp cmp,0
nop push push and sub ret xor mov,0
pop ret jmp cmp nop lea add jmp pop mov mov pop sub lea pop cmp xor,0
call lea sub call nop sub pop,1
or mov mov and add nop pop ret and sub xor lea ret pop and lea or add,0
cmp cmp mov sub push xor lea or pop sub nop cmp pop,1
cmp sub nop or or call and pop call ret cmp or and add xor pop nop pop mov jmp,1
sub nop ret lea ret cmp sub or jmp nop,1
pop ret pop or call mov xor add mov nop nop mov or push sub jmp xor ret nop,0
cmp pop pop or mov mov or jmp sub,1
lea mov nop mov call pop jmp or jmp,0
add and pop add lea cmp cmp lea ret call xor add nop ret add sub and,1
mov pop xor xor or push cmp push cmp,0
call nop lea mov mov mov and ret lea pop and xor pop or add cmp call add mov push,1
and pop add or mov nop mov,0
and and pop add nop sub lea lea call jmp mov lea xor jmp call or and cmp mov sub,0
jmp cmp nop cmp push cmp,1
sub sub lea add sub push lea call jmp push sub cmp mov add or cmp add and,0
call xor or jmp or pop sub pop and mov push pop cmp nop or and lea call push,1
ret jmp jmp ret mov and mov add sub ret lea,1
add call push cmp add xor add,1
jmp push sub cmp mov pop mov mov nop push sub ret,0
and nop call or sub sub call ret jmp sub nop,0
or and cmp nop xor or add,1
push sub nop ret pop call or,0
push ret push nop add nop nop nop ret xor cmp ret lea or or pop xor and mov pop,0
or and sub call xor add or lea ret call ret mov cmp jmp,1
push push nop call ret pop ret or ret cmp pop jmp cmp ret call,1
add add and pop ret mov nop pop mov push push add,1
ret add or call and nop call add push cmp call,1
ret add xor ret jmp call and or ret xor add and add xor add ret pop mov,1
cmp push sub lea cmp sub cmp jmp and,1
sub or mov or lea or xor call mov ret and,0
add and call sub and or xor,1
and add sub xor cmp nop lea add ret ret add sub ret sub and push push call,1
ret nop ret nop jmp pop and jmp xor and nop,1
pop cmp jmp pop jmp jmp xor mov,1
lea push ret mov call add sub call lea xor cmp cmp lea nop lea sub lea,1
cmp or lea nop call and jmp,0
xor pop nop pop lea sub sub nop sub or lea add cmp nop,0
add or pop sub jmp or nop pop,1
add and xor xor cmp mov call sub,1
sub push or ret mov sub lea jmp add xor cmp,1
jmp mov add and mov nop call cmp nop nop pop add jmp lea add,1
and jmp lea mov and mov lea xor and lea call or push cmp xor pop pop or lea,0
xor add cmp sub lea call add,1
ret ret sub cmp lea jmp,1
pop and and mov xor jmp push add,1
add add lea lea xor mov or add xor and and,0
mov and xor nop lea pop,0
push call push cmp add sub push xor cmp nop nop pop cmp,0
jmp nop add pop ret cmp pop push and or nop lea sub xor,1
pop ret mov mov cmp nop jmp add add mov and add cmp add mov,1
call lea add pop mov mov lea push cmp,1
add jmp cmp push nop pop lea cmp nop sub ret lea pop call add call nop push call lea,0
nop or add pop xor nop pop push jmp call xor or xor and and push and cmp,1
and ret pop mov xor ret pop add push push push,0
pop lea call add pop ret lea nop sub ret nop,1
call add xor call push ret xor mov add pop,0
nop cmp mov lea or jmp jmp nop sub push pop cmp add call add push pop nop,1
push or mov mov sub and add jmp jmp mov xor xor xor jmp ret lea,0
or xor cmp mov or lea lea mov pop cmp call sub,0
ret cmp pop cmp push and pop or sub or xor call mov jmp ret,1
xor add sub or and call mov xor xor cmp nop xor,1
call add call call or ret cmp jmp push call ret or,1
or mov jmp lea or pop nop,1
lea add jmp nop and sub jmp ret jmp ret ret sub cmp,0
or or or pop ret push sub,1
push ret mov lea lea jmp sub and call ret call and nop,0
cmp nop push call nop mov ret xor xor xor mov sub add jmp and or call jmp mov call,1
jmp add push nop push sub push or cmp call sub ret cmp xor add,1
cmp call nop xor nop pop cmp pop mov and sub add sub or and call xor call,1
push call add ret add sub sub nop push add ret,1
add or call sub nop add push add push call pop lea sub mov cmp and ret add add pop,1
mov lea cmp lea xor call call sub push jmp add or sub,1
call lea add mov add mov xor cmp cmp,1
mov add pop cmp call push jmp ret sub jmp call lea or push add,1
jmp add push cmp and lea ret pop add ret add ret lea call,1
or pop mov lea ret pop,1
lea push jmp mov or xor ret xor,0
xor pop add call jmp and cmp lea cmp nop and nop nop nop add,1
cmp nop cmp jmp xor xor jmp mov lea pop jmp call pop lea and push cmp sub and,1
or and pop xor ret xor cmp,1
call mov push pop jmp ret xor pop push push mov ret,0
xor pop cmp push cmp ret,1
add jmp pop mov ret add pop push jmp sub or lea add cmp and,0
lea sub nop pop mov or,1
jmp call nop mov lea add nop nop xor sub and nop pop and call call,0
xor xor lea sub push sub push sub push sub,0
add or cmp pop call jmp sub cmp pop cmp lea nop push add,0
add cmp or jmp pop sub ret or jmp call add mov pop sub pop call jmp jmp ret,0
call xor push add jmp jmp nop nop pop pop lea and lea pop,1
ret sub cmp cmp cmp call call and add add mov xor or sub,0
push jmp jmp xor pop cmp ret xor add sub sub nop call mov or nop,0
push or xor or call and mov ret xor and ret or push lea jmp nop jmp jmp jmp add,0
add call cmp mov push xor lea jmp ret lea push call ret xor jmp or or mov ret cmp,1
or call jmp jmp sub mov add lea or or pop jmp sub mov pop cmp call sub,1
add ret nop add pop nop sub xor pop sub,1
pop call ret call add nop ret,1
lea push xor jmp nop push,0
sub add lea call add push ret xor or or cmp,1
cmp cmp or jmp or ret push add cmp call and jmp mov jmp xor,1
cmp ret pop ret lea jmp ret add call pop or and,0
sub pop pop jmp nop pop nop pop jmp sub push call ret add call xor lea,0
call ret ret sub cmp sub pop add pop cmp jmp ret xor sub,1
sub or and call push sub pop cmp xor cmp,1
sub sub pop jmp pop mov or lea cmp xor ret call lea xor push push push add,0
push jmp cmp add add lea cmp or cmp xor and sub mov,1
sub ret call nop pop add mov and and,1
cmp and add jmp ret or pop,1
lea push or add pop cmp pop xor call,0
ret sub jmp cmp and call xor add and add and lea lea ret add,0
sub or lea pop call sub or nop or call push ret add,0
or and or add lea or jmp xor jmp push and nop lea or and lea,1
pop or or sub ret sub xor lea xor nop xor mov lea lea,0
jmp pop lea xor add cmp nop ret xor add,1
or xor and jmp or xor mov add ret call lea sub,1
and add call and cmp and ret sub mov,0
jmp jmp jmp push and push ret ret mov add mov or lea add ret pop xor push,1
cmp pop jmp pop mov cmp and mov xor call lea xor jmp or,1
pop push push jmp call cmp push,1
ret nop lea mov cmp and nop pop ret or cmp push or,1
ret ret jmp nop sub lea,0
or or xor ret cmp nop xor lea ret nop push push ret push call nop xor nop,1
add or cmp add or mov jmp nop or push call mov nop jmp ret sub jmp cmp,0
cmp jmp push and add pop call xor mov ret push add ret call,0
ret cmp and call add add sub ret mov add,0
xor jmp jmp ret mov sub sub or or lea and nop call cmp and ret nop or call push,1
ret and cmp or pop ret add call sub pop lea push jmp push nop call add pop mov,1
pop cmp nop xor lea xor pop pop lea lea push or push,1
lea and lea lea sub lea push xor or,1
add lea pop jmp nop lea ret ret and xor cmp add ret,0
or call sub jmp ret xor pop jmp cmp mov xor call or lea or,1
call sub nop lea ret lea mov call push mov cmp,0
sub call lea push add or mov,0
lea sub jmp call cmp sub mov mov add,0
push nop cmp and and mov ret call mov or,1
push mov jmp sub add cmp sub ret jmp call,0
push sub mov push nop xor,0
or nop jmp add mov xor cmp and and,1
push jmp ret add push call add push lea pop,0
sub jmp add cmp add nop pop pop lea or mov add jmp,1
cmp push jmp cmp lea cmp xor pop lea nop lea ret pop call ret nop call and lea,1
lea mov push jmp push push cmp jmp,0
add lea push and push ret cmp or add,1
call call pop jmp mov nop,1
nop or call push ret and nop mov add call ret lea push add add,0
mov sub push and lea add,1
add lea add or sub or cmp mov cmp pop nop sub nop pop push ret pop sub,1
mov cmp lea add add call push cmp sub nop jmp ret add push cmp ret sub jmp,1
cmp jmp add call add cmp mov,1
xor mov or and mov ret mov xor xor and call,0
sub mov xor ret add jmp jmp ret push call add call sub pop push mov,1
ret pop jmp sub pop call push nop or push cmp add nop cmp jmp jmp push nop nop sub,0
mov or sub nop pop and call lea lea cmp nop push nop pop lea xor push,1
ret mov and or or nop mov jmp,1
jmp and push ret and call or cmp and lea cmp nop push pop mov cmp lea push,0
sub add nop pop mov or,0
jmp cmp add call sub and xor call lea or,1
add ret ret ret sub ret sub sub jmp mov lea,1
add ret nop xor jmp nop cmp nop call pop pop pop cmp sub ret push call nop call,1
jmp call jmp mov add sub mov or and pop add cmp call ret or sub,0
ret lea and cmp sub jmp ret add and push push pop ret xor xor,1
mov mov jmp push and cmp call and nop nop ret xor call or sub add mov push sub push,0
mov ret and and push jmp jmp jmp xor nop or push xor cmp call,0
mov call add mov pop pop pop pop pop and pop,1
sub or add and mov push nop sub lea cmp ret call cmp mov push ret nop cmp and,0
and call nop add push lea cmp jmp,0
nop ret ret jmp mov or jmp lea nop push add push add add and,1
cmp jmp add ret pop push or cmp jmp call lea,0
sub ret add ret jmp jmp or call mov ret or lea mov add lea ret cmp,0
lea pop lea add xor sub lea ret and push xor or,0
add and and cmp xor jmp add or ret sub mov cmp call jmp jmp,0
sub xor nop mov ret pop pop call call mov nop lea xor nop push call xor lea xor,1
jmp or cmp call push jmp pop push mov nop,0
cmp pop mov cmp lea ret and xor xor,0
add call pop sub nop mov,0
push jmp push and pop sub pop push nop cmp nop or mov,1
ret xor cmp jmp lea cmp and xor xor push sub ret,0
ret nop cmp and lea push xor ret cmp call and add or jmp add jmp call pop,0
ret and xor jmp cmp push mov cmp or call xor and pop,0
push cmp cmp or or cmp and add push push mov add ret pop push or and or ret,0
ret and lea ret push push,0
lea mov add ret jmp call mov sub nop call,1
and cmp nop nop call call push nop sub sub jmp push or mov xor or pop,0
or call and ret cmp pop cmp pop sub,1
jmp sub and lea mov add mov and jmp,0
lea pop lea and lea push call pop lea and sub,0
or call mov ret mov cmp pop nop pop pop or ret jmp xor push or ret jmp,0
lea call jmp pop sub nop sub and cmp or nop cmp and push,0
add call sub call ret or nop jmp call cmp,1
xor ret sub xor add jmp jmp push jmp,0
add xor mov call or lea xor nop ret or sub call call ret add nop call,1
call and xor cmp ret jmp lea,1
cmp xor ret mov mov or and mov ret ret and,0
sub lea mov add push or lea jmp call call xor and lea and sub jmp,1
jmp jmp call add and nop and ret and jmp call nop nop cmp jmp call add,0
nop or call and jmp and or,1
mov xor jmp mov jmp ret cmp mov,0
call pop and mov cmp or,0
ret mov nop call jmp cmp and add nop push jmp cmp lea pop pop and,0
nop jmp cmp jmp lea and and sub,1
or nop and add push or,0
lea sub xor add call push pop sub,0
or mov and sub jmp lea xor ret and xor ret ret call or,1
and nop xor and and and xor lea or xor ret cmp or lea jmp lea cmp jmp,0
nop ret and or push nop sub pop lea call or and lea cmp and ret cmp,1
sub ret and call and push pop,0
jmp pop lea push add mov lea lea call push,0
mov push add call and and cmp and cmp ret nop add call pop pop cmp jmp,0
pop ret jmp and nop lea nop sub,1
xor jmp add ret push ret,0
call and or jmp push push or ret or ret xor sub add xor nop pop cmp mov pop,1
jmp pop cmp ret mov ret and and pop push jmp mov push nop push call xor sub and jmp,0
and nop or add cmp push sub push pop push call lea sub push mov,1
call or jmp pop ret push ret push sub jmp ret mov jmp,0
pop add add and add add push pop xor or cmp pop or ret push ret,0
add add cmp sub nop lea call call and and sub ret mov call,0
pop lea mov xor and cmp pop jmp or mov nop cmp mov mov mov,1
sub ret sub jmp pop sub lea pop lea mov push nop,1
nop jmp ret nop call add and jmp ret cmp call push pop pop call and,0
nop or xor add or cmp call nop pop lea add push ret pop nop call lea,0
and ret sub or mov sub pop add call ret cmp xor lea sub or xor cmp,0
or push nop mov lea jmp or add nop add lea and,1
call add or pop jmp xor lea jmp lea jmp push sub jmp add sub xor nop lea ret,0
call push sub and ret lea and xor call or cmp,0
pop call nop sub jmp xor add call xor sub nop or pop ret,1
push push add sub mov mov push jmp ret and nop and mov lea cmp add,0
nop or pop lea push or ret or lea or pop xor mov xor add xor xor push lea add,0
jmp ret push lea mov jmp push ret cmp or,1
sub cmp call push and sub sub cmp mov pop cmp sub,1
push pop nop cmp or add sub sub lea,1
nop mov lea cmp xor push and ret cmp and jmp mov sub nop and and ret lea lea,0
or pop ret cmp and call call and cmp cmp lea lea call pop ret mov call cmp,0
nop call push nop add xor lea ret xor,0
ret and lea call jmp push sub or call pop pop cmp,1
xor pop sub sub jmp ret push call and lea push xor call,1
nop jmp push sub pop lea pop lea or call,0
nop xor and xor mov and push sub xor jmp xor xor call xor,0
lea nop push add add cmp lea and lea mov jmp,1
push jmp sub nop nop push jmp call,0
jmp sub or sub xor push or call cmp push,1
nop and call mov xor jmp,1
push cmp cmp jmp nop ret jmp add mov call,1
lea cmp pop call add add add pop ret lea nop jmp jmp add call xor pop call sub,1
call push pop nop or or xor sub or mov lea pop mov ret,1
and and cmp mov jmp and or jmp or pop nop and pop and pop and or mov,1
pop or add call and lea and,1
or or and xor add xor and or pop add call or push nop or nop pop ret lea,0
cmp or or nop lea add lea jmp mov pop xor lea nop sub sub mov lea call nop,0
jmp xor cmp ret or sub sub pop push and call push cmp jmp lea add xor nop and mov,0
jmp and and mov call cmp or add lea push xor xor call cmp nop add pop ret call,1
push xor lea push push xor lea ret jmp ret ret pop sub sub lea xor cmp sub,0
pop sub and cmp call cmp or call push pop,1
nop pop sub lea and mov call nop xor add lea,1
pop jmp call cmp nop cmp nop nop lea cmp jmp and xor lea ret add,0
cmp or call nop nop mov and add,0
add pop cmp nop jmp pop push ret add xor and pop or add jmp,1
xor xor call nop add xor and,0
sub jmp nop add add add pop pop call,1
cmp jmp jmp or xor call push and cmp xor sub lea,0
call add pop ret add xor cmp pop jmp nop,0
ret and jmp push add call lea and or and jmp pop add lea or,1
ret pop jmp pop nop or cmp call lea nop xor nop nop,0
nop add sub call add push lea and and nop sub pop xor xor jmp,0
sub xor jmp or mov sub add add lea pop ret and cmp cmp lea mov call pop or or,0
lea add and lea pop pop,0
pop pop mov add xor cmp or or mov jmp lea nop push,1
cmp cmp nop nop cmp sub xor add nop call cmp lea nop cmp call call or xor,0
sub call jmp jmp pop mov nop nop or,0
add mov cmp pop add mov lea nop and jmp sub call,1
pop lea pop xor ret xor sub mov lea ret jmp or call pop,0
nop push pop pop cmp ret mov sub nop ret push call,0
add jmp and sub or jmp lea cmp jmp sub push mov,0
or jmp lea cmp mov mov jmp and add call ret and sub ret,0
and call xor lea and ret or cmp pop lea,0
xor ret xor add xor add pop cmp add sub sub lea pop pop cmp or,1
nop add xor jmp ret pop or add add call,1
and mov lea cmp cmp or push cmp,1
and push add pop pop cmp nop ret pop pop cmp ret nop,0
and jmp ret and ret ret jmp xor and pop mov and sub pop xor pop jmp and mov,0
xor push mov jmp pop and jmp and lea mov mov xor ret and mov mov xor cmp lea,1
jmp jmp or nop cmp ret,1
sub sub pop or cmp sub push xor jmp xor and,0
call or add ret and mov mov or or and and nop mov,1
jmp and sub call sub mov,0
sub pop cmp call nop cmp pop cmp pop add add cmp and ret cmp xor,1
nop cmp lea push lea or xor add nop sub ret jmp,1
sub sub sub add sub add ret nop,1
mov push add nop or cmp nop and add cmp lea xor,1
or sub add call nop xor,0
ret or jmp nop lea xor lea call or jmp cmp cmp call nop lea sub push call,1
cmp add add push pop xor sub sub,1
or xor call ret mov and mov add and ret cmp jmp lea pop sub ret xor xor,1
cmp call sub jmp jmp ret pop lea jmp nop jmp mov add mov call,0
jmp ret nop xor cmp call cmp nop cmp ret nop sub sub lea push call add nop,1
ret lea jmp xor push add call cmp xor pop cmp pop,1
xor call call or push ret mov and add add push,1
push mov call cmp nop nop nop lea sub call mov pop cmp or or add add,0
sub push call ret cmp add sub lea nop add nop sub cmp add,0
push cmp jmp or jmp mov add pop,0
mov mov add jmp jmp xor call sub nop nop,1
or jmp nop cmp add call or pop cmp mov add pop or or call pop,0
push cmp xor push call pop or and,1
lea add call ret sub or sub,0
mov xor or jmp lea add mov push and jmp pop nop sub call xor,1
call call pop lea nop ret xor nop,1
ret pop and push pop call sub,1
cmp jmp jmp and push lea mov or push push mov and call jmp cmp lea pop mov cmp,0
cmp and push add jmp nop sub lea,0
mov or ret sub cmp nop xor and sub and nop lea xor,1
ret push ret add nop cmp cmp nop call mov ret pop cmp or cmp mov sub push push xor,1
lea xor mov or add lea xor ret,0
jmp add push xor add and ret push or ret pop xor or push nop cmp add lea,1
ret ret mov lea mov sub nop call or push pop xor xor ret pop ret and xor ret,0
sub push nop cmp cmp sub add jmp,0
push or xor push pop pop push sub cmp pop cmp lea,1
nop push ret nop xor and lea add ret,0
push ret pop sub xor cmp cmp call and ret call xor sub push pop xor and,0
ret jmp ret ret nop cmp cmp push jmp ret xor nop ret or add cmp or pop ret lea,1
ret or cmp and call pop cmp sub sub lea mov or or jmp,1
pop push pop pop jmp call jmp,0
xor or sub and mov or cmp push sub pop or mov nop xor ret push and,0
push add xor mov add nop sub,1
call or call nop xor pop,1
xor call call or lea cmp mov and pop or add nop push,1
pop ret lea xor add xor mov xor pop mov pop jmp call lea,1
jmp cmp cmp push nop jmp and sub nop add jmp pop ret ret,0
ret nop xor cmp lea call nop ret push add pop jmp sub or mov push jmp sub add,1
add lea ret push lea sub push ret or,1
sub ret xor ret add lea,1
add lea nop push cmp call xor nop sub add pop and pop push pop xor mov mov add,0
lea xor cmp add mov xor sub cmp ret xor and sub call nop sub or nop,1
ret or sub nop jmp and ret jmp cmp pop add push mov or,0
add pop sub lea jmp lea,0
ret ret push pop and sub and ret jmp cmp ret pop mov ret lea cmp and,0
add jmp call cmp xor add jmp nop push mov nop,0
mov xor add xor add add lea mov call and call mov,0
nop and pop ret add mov pop or and or pop lea jmp jmp ret pop sub,1
nop add xor cmp cmp and add xor push mov ret nop sub pop xor call add xor nop,1
ret call mov mov and mov,0
lea ret push call and jmp or,0
and and push add or jmp add pop,0
cmp jmp push pop lea push sub nop jmp mov push and pop,0
cmp mov cmp pop cmp nop pop push xor add push nop lea ret jmp,1
xor pop pop and or pop cmp jmp nop,0
ret lea and mov or or add cmp or nop mov,0
cmp ret or ret ret cmp ret,1
jmp jmp lea or cmp or jmp add push ret xor and ret,1
nop cmp jmp mov jmp add call jmp add mov xor push or call lea cmp ret,0
push lea ret xor push or push,1
ret add jmp add pop pop pop lea,0
or call lea mov xor ret sub pop nop nop call lea add add or add xor ret ret call,1
cmp sub push and push and nop pop push and sub lea and cmp call jmp,1
lea call jmp mov call ret and cmp sub or,1
nop or lea cmp sub pop call,1
pop and and lea and pop ret ret jmp lea push add mov add call or sub,0
mov push mov mov and nop ret nop and xor jmp lea mov sub push or add jmp,1
mov or ret xor or add,1
pop or lea push add add push,1
jmp call pop pop mov ret nop nop,1
xor mov mov lea ret and cmp push,1
xor and jmp or cmp xor mov pop push cmp ret jmp xor add or xor nop ret xor and,1
add nop jmp cmp sub call sub ret and sub,0
add mov cmp ret sub cmp jmp lea lea lea,1
mov and and push nop ret or and jmp,0
call ret nop lea and call ret push nop sub nop xor,1
xor and xor jmp add and cmp call lea add call cmp and add or mov mov lea pop,1
jmp lea nop ret lea and add lea mov,1
push sub xor and add call lea push mov and,1
xor lea mov sub jmp jmp nop sub,0
pop add or and mov jmp add ret ret mov xor or mov xor or,1
mov jmp or add call and nop xor or or and mov or nop xor pop jmp lea pop,0
mov cmp xor xor call push cmp ret jmp sub and add and mov push or lea sub pop push,0
and sub ret push call push or nop and mov jmp call nop,1
nop jmp xor sub cmp cmp nop cmp nop or add jmp mov cmp mov nop,1
push nop push jmp mov lea add or mov pop lea ret ret mov nop pop,1
pop ret lea cmp nop add jmp pop pop mov or mov mov ret sub,0
nop nop sub ret mov nop call pop push pop pop cmp or and,1
or and sub xor push mov nop or jmp jmp call ret pop ret pop xor jmp cmp sub,0
or add pop call lea sub lea sub nop,1
cmp cmp nop add ret pop lea add jmp sub or mov lea cmp pop,1
sub jmp xor mov jmp jmp mov xor push nop xor and add sub lea mov add xor lea and,1
cmp lea and xor and add sub jmp or mov add call jmp mov call ret xor,1
push jmp call pop pop push nop jmp or lea push and cmp mov or sub jmp call,0
mov or nop ret call call push pop call sub sub,1
ret lea cmp mov xor add pop or and nop jmp jmp jmp cmp xor,0
or mov pop lea and push ret add mov call push or,1
cmp sub or mov or or nop nop add sub push push add push ret call,0
pop jmp ret cmp pop sub call pop and cmp,0
lea pop mov nop or xor cmp,1
jmp lea add push call ret jmp xor jmp xor call jmp nop nop xor ret,1
pop or add push cmp or nop or lea mov or,0
jmp push add jmp pop pop and and and ret add ret or mov,1
pop push jmp lea pop or xor and or lea xor pop push add push call nop,1
cmp cmp call jmp push add and lea pop add jmp pop ret nop add,0
push cmp ret push or xor lea,0
ret ret add xor nop and nop jmp nop ret or cmp add add,1
ret xor pop cmp lea add sub mov nop lea ret ret mov call cmp lea mov push or,0
cmp xor and xor xor add sub xor push sub or,1
and push sub and call add lea,1
push pop push pop lea mov mov sub or lea push cmp call nop pop push,0
xor add call mov sub and xor add,0
cmp mov jmp sub sub call ret mov lea push ret,1
jmp or call add and jmp call mov cmp sub cmp and,0
cmp or add sub jmp xor sub pop call cmp xor cmp,0
or or or mov add cmp pop xor add jmp add xor mov ret or or ret,1
push call pop or call call push nop jmp add call pop call,1
or and push add mov ret add add ret xor,1
lea nop lea push sub cmp nop cmp cmp add jmp pop sub cmp sub nop nop jmp,0
xor call or ret cmp mov lea add mov mov ret pop jmp pop cmp mov or or,0
sub sub and ret push lea add and ret ret push or,0
ret nop push lea add pop push push ret xor sub and and,0
jmp and ret nop add xor call sub,1
and ret call or cmp pop call jmp cmp and call,0
pop call xor jmp jmp nop and cmp pop call and nop,1
call pop lea and pop lea lea ret push lea ret cmp and ret add push,1
lea xor nop lea pop add sub mov,0
sub call push cmp ret call call xor add push call xor,1
sub or push sub sub and,1
or lea mov cmp jmp call lea lea nop and call add sub or jmp add lea and xor call,0
ret or or lea lea cmp xor lea xor and jmp sub,1
or lea cmp pop and ret add,0
nop xor sub and sub lea pop,0
jmp call add xor jmp cmp nop cmp xor xor mov call nop pop jmp and sub nop or lea,0
xor add cmp cmp or xor and,0
sub pop lea sub jmp add call pop ret and lea mov,1
nop call and lea cmp add and,1
or pop cmp jmp nop jmp,0
or push jmp nop cmp nop sub call add push call call call,1
sub mov lea pop ret nop and or xor sub ret call or cmp cmp and xor nop cmp add,1
push ret push lea sub push cmp jmp xor xor sub cmp push cmp push ret jmp lea,0
sub cmp ret sub cmp and pop cmp call or sub call jmp jmp sub xor ret push jmp pop,1
call call ret add lea pop pop add add,0
call cmp push mov mov mov add mov call pop pop,0
nop ret ret add mov mov cmp jmp or call ret xor and add jmp jmp pop or,1
call cmp ret push jmp add push call push push jmp,1
or and push jmp xor lea jmp add lea call lea,0
call or or or mov xor push mov or push and pop and xor nop,1
push nop lea xor add or pop jmp cmp,0
jmp push ret cmp mov add pop,1
jmp xor and cmp or cmp push lea call cmp push or sub,0
ret add jmp or and or add push nop ret add push nop lea cmp sub push and sub,0
add or sub mov jmp xor or or push nop jmp push,1
xor lea jmp sub and xor lea nop cmp or and ret mov,1
pop mov sub and and pop nop,1
add cmp cmp call mov nop mov sub jmp ret mov add,0
sub ret nop or cmp cmp jmp cmp mov mov ret and ret sub nop call lea push xor add,0
call xor jmp xor xor and sub and jmp call,1
xor mov mov xor lea nop xor or call cmp add jmp call,0
or cmp push cmp sub add ret pop call sub cmp ret or call,1
pop push jmp or call ret lea mov pop mov jmp ret xor xor mov,0
push call mov cmp add lea lea,1
call xor nop sub add call and cmp cmp xor call add pop xor or xor add cmp or,0
xor pop xor pop push jmp and mov cmp jmp ret xor add nop mov,1
mov and cmp add or call sub mov add lea lea cmp and push call,1
pop ret lea lea call lea or or pop and xor add jmp pop,1
sub add mov and add call mov or sub and push and cmp,1
call or call lea pop add jmp mov or and pop mov,0
or or and pop ret sub pop call xor push,1
call sub or cmp nop and add mov nop add or add ret xor xor or,0
or lea mov mov cmp add lea cmp nop call add,1
pop or sub or sub xor or add mov cmp push push push,1
jmp jmp or add pop nop pop cmp call and or pop cmp add add call add push,1
push mov pop sub or mov and nop pop or ret call mov sub and add pop nop ret push,1
push add sub mov and jmp mov lea nop cmp xor call and jmp mov xor cmp pop and,1
xor sub ret push and sub and pop pop cmp add or call,0
mov lea call cmp or cmp pop push mov add,0
pop add call lea add nop,0
mov jmp add add jmp nop pop or and call lea call lea pop call lea sub,0
push lea ret pop pop cmp ret jmp nop,1
push and pop call nop xor ret mov lea cmp add ret,0
pop ret nop add nop push xor ret cmp ret nop mov sub call nop mov add,0
xor call push or add cmp lea cmp add,0
and sub sub push ret xor pop,1
and call or lea xor mov sub xor mov ret and jmp,0
pop mov or ret pop ret nop call push ret or and or and pop,1
ret ret cmp add mov pop add or lea or call and,0
or lea push jmp and nop add xor cmp ret push add jmp ret and nop mov jmp push pop,0
mov add call nop add and xor mov cmp xor ret call add or,1
cmp add add or pop xor,0
and call ret push nop jmp or call or nop nop lea or jmp,0
jmp call jmp xor add or lea call xor jmp xor sub pop and xor pop mov and xor,0
add mov xor pop call lea sub sub or push,0
lea nop push call mov call and add sub call and xor nop ret pop push and lea pop sub,0
and mov and lea lea sub add,1
and ret push cmp call nop mov sub,1
pop lea xor nop xor pop ret or and lea call push push push cmp,1
call cmp or mov add and or pop sub mov ret cmp push ret add or,0
add add pop add lea mov sub cmp,0
xor call call mov lea or ret xor or lea sub and,0
ret call sub add and lea call mov jmp call pop ret ret add cmp or call mov ret cmp,1
ret ret cmp nop cmp jmp lea sub nop,1
or xor pop jmp pop sub xor mov,0
call xor lea cmp nop jmp xor call mov mov jmp xor cmp and mov cmp,0
cmp mov and ret add call jmp push mov xor jmp push jmp mov cmp jmp or add add,0
sub sub sub sub sub push pop,1
ret ret lea xor cmp pop push sub nop pop ret or or xor and jmp cmp and,1
lea xor cmp push and ret mov ret call,1
pop pop or jmp xor xor pop nop sub sub mov sub pop add or sub add or lea ret,0
ret lea lea nop ret call ret pop,0
call sub push xor call mov mov add push nop mov,0
add call sub and call and ret call push nop push call jmp add lea mov pop,1
pop and nop pop mov and or add pop cmp ret lea nop call lea and,1
ret jmp call ret nop add and xor add,0
jmp sub add ret sub mov jmp mov jmp mov,1
or call add lea nop or cmp call nop xor call call cmp mov,1
or lea ret pop ret call ret sub sub sub sub ret add pop,1
call lea push pop xor add lea cmp or sub add,1
lea xor cmp nop nop or jmp xor pop push call nop and lea,0
jmp nop ret nop nop lea mov pop,0
cmp call jmp and nop xor sub or nop jmp ret xor xor mov sub call,0
or mov nop mov push add add or xor add mov jmp and lea pop or or and call nop,1
nop or or or and lea add pop jmp and and or or add lea,1
